,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,11,9,11,11,13,11,7,4,10,9,9,9,8,14,7,1,1,1,7,4,8,1,1,1,7,4,8,1,1,1,8,4,10,11,6,11,8,4,7,10,11,9,9,6,12,10,12,4
1,15,8,1,1,7,3,4,8,1,1,7,3,6,9,11,5,12,3,11,5,12,4,8,3,10,11,12,4,7,3,8,8,10,5,12,3,13,12,7,3,8,3,10,13,9,6,9,11
2,7,2,7,2,7,4,8,2,7,2,7,14,9,6,12,2,7,4,5,5,12,2,8,4,4,4,7,2,8,4,11,5,9,5,13,6,9,6,11,6,13,6,3,3,8,1,10,6
3,14,7,7,2,2,7,4,7,8,2,2,8,11,13,12,2,2,10,10,13,9,6,11,13,13,13,11,11,9,13,13,9,13,9,6,12,13,6,13,11,11,13,10,5,9,9,9,12
4,3,8,15,10,11,6,5,7,4,7,7,1,2,8,4,8,7,1,11,13,6,12,7,1,10,9,11,12,10,5,12,4,10,9,9,11,8,4,7,3,3,10,12,4,10,11,11,9
5,9,13,13,6,11,12,5,9,13,11,12,7,1,1,8,10,12,8,6,5,13,13,13,13,5,6,12,7,8,8,1,1,7,7,7,10,11,5,9,13,13,9,7,1,1,8,10,5
6,5,12,8,1,7,7,2,7,8,1,8,8,2,8,7,1,10,13,11,9,13,5,12,7,9,6,9,5,12,7,4,14,4,4,7,7,7,4,4,4,7,8,9,6,5,11,12,8
7,3,7,15,10,5,12,11,7,4,10,5,13,13,9,6,12,0,7,12,0,0,7,0,7,7,0,0,7,0,10,12,0,0,7,0,10,13,6,5,9,6,13,7,1,1,1,1,10
8,14,4,4,8,7,4,4,4,4,7,10,11,11,11,11,9,12,10,7,7,10,5,12,7,9,13,12,1,7,8,5,12,7,1,8,7,5,12,7,1,8,7,11,12,7,1,7,8
9,1,8,15,8,8,10,1,7,4,7,7,10,1,7,4,10,9,9,11,9,5,9,6,11,7,2,2,2,2,7,13,6,6,6,5,12,9,11,11,5,6,9,6,13,9,6,5,11
10,11,9,9,13,12,4,13,6,11,12,7,15,10,11,9,13,7,4,13,12,1,10,13,11,8,8,1,10,9,12,12,10,11,12,1,7,7,7,8,7,1,7,9,13,12,7,1,7
11,1,7,4,7,4,14,6,9,6,9,7,4,5,6,11,5,9,5,2,2,10,6,6,11,2,2,8,1,1,10,11,11,13,5,5,9,7,10,12,2,2,2,8,10,9,6,11,11
12,12,1,10,9,13,11,10,11,12,1,7,10,10,13,12,1,8,8,10,9,12,1,8,7,7,1,10,6,9,12,12,1,8,15,4,7,9,6,7,4,4,10,2,2,7,4,4,7
13,13,6,5,13,9,13,7,4,4,7,2,7,12,15,4,8,2,8,7,4,4,8,2,8,12,4,4,10,11,9,13,5,6,13,13,6,10,5,11,12,8,0,12,3,10,13,9,11
14,13,5,5,12,15,8,9,11,5,7,4,10,1,10,5,13,5,13,6,12,0,8,4,8,1,8,0,8,4,10,5,12,0,7,4,10,6,9,5,13,11,13,2,2,2,8,8,10
15,10,5,6,9,11,5,9,6,5,5,9,6,3,3,3,3,3,3,3,3,3,3,3,3,6,6,11,6,6,5,1,1,8,0,0,0,1,1,10,5,11,5,11,11,12,3,7,3
16,10,9,13,12,8,2,8,15,10,13,13,6,7,4,8,7,7,1,9,5,12,7,7,1,6,11,9,12,10,11,6,13,5,12,7,8,6,9,6,9,13,13,5,5,5,6,12,8
17,12,14,7,0,8,3,7,4,10,5,9,11,13,11,9,11,11,12,13,12,0,10,9,13,9,13,5,9,6,12,3,7,0,0,0,8,6,13,6,11,5,9,2,8,3,8,1,1
18,10,5,11,5,9,12,8,3,8,3,3,8,13,5,13,5,5,13,9,6,13,11,5,12,5,6,13,9,5,9,14,4,8,4,4,4,4,4,10,5,5,5,5,11,12,3,3,3
19,6,13,11,9,12,4,5,9,12,0,8,14,11,5,13,5,7,4,10,11,13,11,9,11,8,10,9,12,0,10,12,8,2,8,0,10,12,7,2,7,0,7,13,13,11,13,6,12
20,1,1,7,1,7,1,5,5,12,1,8,1,15,4,7,1,10,6,4,4,7,1,8,2,6,6,9,11,13,6,6,6,5,9,13,6,6,11,6,11,12,4,5,12,1,8,8,4
21,1,7,8,1,7,14,1,10,12,1,7,4,11,13,9,5,13,5,7,10,6,11,13,11,8,7,4,8,7,10,8,7,4,7,10,9,9,13,11,13,13,6,11,9,13,13,13,5
22,1,1,1,7,8,8,11,5,11,12,7,7,8,15,7,7,8,7,7,4,10,12,7,8,9,5,12,8,8,10,2,2,7,10,9,13,11,6,12,10,11,12,12,1,7,10,9,9
23,9,9,6,9,5,5,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,11,6,11,6,6,1,8,3,10,5,5,1,7,3,7,0,0,11,9,5,12,0,0
24,0,0,7,2,2,8,11,6,12,2,2,10,12,2,7,2,2,8,13,5,12,2,2,10,8,2,8,2,2,8,13,5,9,11,11,13,10,6,5,9,9,13,12,15,4,4,4,10
25,4,7,15,4,4,7,6,7,4,4,4,8,1,10,11,6,11,9,5,12,8,4,8,1,1,8,10,5,13,11,5,9,13,11,9,12,3,3,10,12,1,7,5,6,9,12,1,10
26,4,4,7,7,2,7,5,5,9,9,6,12,3,3,3,3,3,8,3,3,3,3,3,8,6,11,11,5,11,12,11,9,13,5,13,12,8,0,8,15,10,9,8,0,7,4,7,2
27,12,8,1,7,0,0,8,8,1,7,0,0,9,13,6,9,5,11,15,10,6,11,5,12,4,10,11,13,5,13,6,13,13,13,11,9,4,10,13,13,12,0,11,13,12,10,12,0
28,3,10,6,9,12,0,3,10,5,6,13,6,6,9,6,6,9,6,11,5,6,11,5,6,9,6,6,9,11,11,2,2,2,2,10,9,2,2,2,2,10,6,6,6,6,6,13,6
29,12,4,8,8,0,7,12,4,8,8,0,8,9,5,9,12,0,8,1,1,1,10,11,13,5,6,6,13,12,8,6,6,6,12,8,8,1,1,1,8,7,7,6,6,5,9,13,12
30,3,8,4,4,7,1,3,7,14,4,7,1,6,7,4,4,10,6,2,10,11,11,12,2,2,10,13,13,13,5,11,9,13,9,12,4,12,2,7,1,8,4,7,2,8,1,8,4
31,11,13,12,4,10,6,9,12,8,4,8,14,1,7,8,4,7,4,11,9,13,11,13,5,13,6,12,8,8,1,10,5,9,13,12,1,9,6,11,9,9,6,2,2,7,3,3,3
32,10,6,11,12,0,0,13,6,9,13,5,5,13,6,6,9,5,6,10,6,11,6,5,6,10,11,9,11,5,5,10,12,14,7,2,2,10,7,4,10,6,5,8,8,4,7,3,3
33,14,10,11,13,11,12,4,7,10,13,13,13,11,12,7,7,10,9,13,9,13,12,7,1,9,5,13,12,10,11,4,4,7,8,7,7,5,5,9,12,7,7,6,11,6,12,10,9
34,13,12,0,0,0,7,10,12,0,0,0,10,12,7,0,0,0,7,10,9,6,5,5,13,8,0,0,0,0,10,8,0,0,0,0,10,7,0,0,0,0,7,7,0,0,0,0,8
35,3,3,7,4,4,10,5,11,12,14,4,10,11,13,7,4,4,7,12,7,10,5,11,13,8,10,12,1,10,9,7,8,7,1,8,4,10,12,8,1,7,4,13,9,12,1,7,4
36,1,1,8,7,4,4,1,1,8,10,11,6,11,11,12,10,13,5,7,7,10,13,13,6,10,9,13,9,12,4,7,0,10,5,12,14,7,0,10,11,7,4,13,5,12,8,10,11
37,13,5,12,1,10,6,8,1,7,1,7,15,8,1,8,1,7,4,7,1,7,1,8,4,13,5,9,11,12,4,7,3,3,10,9,5,13,6,11,13,6,11,9,6,13,12,3,10
38,6,6,5,12,15,10,3,3,3,7,4,10,11,6,6,12,4,10,8,4,4,8,4,7,9,11,6,9,6,12,11,12,2,2,2,10,10,9,6,6,11,12,13,6,5,6,9,9
39,2,7,4,14,8,7,2,7,7,4,8,7,11,12,10,11,12,7,8,8,8,10,9,13,9,9,9,9,5,9,6,5,11,5,11,5,11,11,13,11,13,5,8,7,10,9,12,3
40,13,12,15,7,0,7,9,7,4,10,5,12,3,8,4,8,2,8,6,9,6,12,2,7,4,4,4,10,11,13,11,11,6,12,10,9,13,9,11,13,13,11,9,5,12,10,9,13
41,15,10,9,5,13,12,4,10,6,6,12,10,5,12,3,3,8,7,5,9,5,6,9,12,2,2,2,2,2,10,5,11,5,6,11,12,5,9,5,6,12,10,2,2,2,2,10,9
